(s),(mm),(kgf)
0,0,0.00012
0.1,0.00071,0.0001
0.2,0.00481,0.00007
0.3,0.00916,-0.00022
0.4,0.01253,0.00006
0.5,0.01582,0.00009
0.6,0.01932,0.00024
0.7,0.02253,0.00006
0.8,0.02588,-0.0003
0.9,0.02948,-0.00023
1,0.03271,0.00013
1.1,0.03582,0.00007
1.2,0.03933,-0.00019
1.3,0.04261,-0.00014
1.4,0.04586,0.00013
1.5,0.04924,-0.00025
1.6,0.0527,0.00007
1.7,0.05582,0.00027
1.8,0.05926,0.00003
1.9,0.06262,-0.00008
2,0.06607,-0.0002
2.1,0.06932,0.00022
2.2,0.07278,-0.00025
2.3,0.07609,-0.0001
2.4,0.0792,0.00021
2.5,0.08261,-0.00039
2.6,0.08613,-0.00013
2.7,0.08928,0.00013
2.8,0.09245,0.00016
2.9,0.09604,0.0001
3,0.09924,0.00011
3.1,0.10254,0.00006
3.2,0.10605,-0.00002
3.3,0.10942,0.00008
3.4,0.11251,-0.0001
3.5,0.11609,-0.00007
3.6,0.11939,0.00012
3.7,0.12271,-0.00043
3.8,0.12601,0.00017
3.9,0.12944,-0.0001
4,0.13258,-0.00005
4.1,0.13589,-0.0004
4.2,0.13922,0.00008
4.3,0.14268,-0.00036
4.4,0.1459,-0.0004
4.5,0.14928,0.0003
4.6,0.15269,0.00011
4.7,0.15587,-0.00001
4.8,0.15929,-0.00003
4.9,0.16287,-0.00019
5,0.16605,0.00018
5.1,0.16921,-0.00038
5.2,0.17285,-0.00024
5.3,0.17593,-0.00041
5.4,0.17917,-0.00015
5.5,0.18264,-0.00014
5.6,0.18605,0.00026
5.7,0.18909,0.00188
5.8,0.1927,0.00947
5.9,0.19597,0.01648
6,0.1993,0.02506
6.1,0.20264,0.03338
6.2,0.20613,0.04219
6.3,0.20936,0.05133
6.4,0.21266,0.06099
6.5,0.21601,0.07253
6.6,0.21942,0.08452
6.7,0.22261,0.09604
6.8,0.22589,0.10815
6.9,0.22932,0.12071
7,0.23251,0.13263
7.1,0.23589,0.14604
7.2,0.23943,0.15952
7.3,0.24263,0.17171
7.4,0.24583,0.18413
7.5,0.24948,0.19846
7.6,0.25271,0.21096
7.7,0.25594,0.22313
7.8,0.25942,0.23742
7.9,0.26275,0.24963
8,0.2658,0.26175
8.1,0.2693,0.27398
8.2,0.27261,0.27837
8.3,0.27589,0.27237
8.4,0.27927,0.27256
8.5,0.28268,0.26721
8.6,0.28593,0.26983
8.7,0.28927,0.27175
8.8,0.29267,0.27313
8.9,0.29618,0.27446
9,0.29936,0.27438
9.1,0.30261,0.27448
9.2,0.30611,0.27425
9.3,0.30928,0.27413
9.4,0.31258,0.27359
9.5,0.31608,0.27388
9.6,0.31927,0.27374
9.7,0.32247,0.27292
9.8,0.32607,0.27343
9.9,0.32927,0.27306
10,0.33253,0.27314
10.1,0.33609,0.27277
10.2,0.33943,0.27317
10.3,0.3426,0.27297
10.4,0.34603,0.27242
10.5,0.34937,0.27232
10.6,0.35267,0.27217
10.7,0.35592,0.27167
10.8,0.35936,0.27241
10.9,0.36256,0.27258
11,0.36587,0.2722
11.1,0.36926,0.27375
11.2,0.37279,0.27538
11.3,0.37591,0.27542
11.4,0.37928,0.2759
11.5,0.38276,0.27725
11.6,0.38597,0.27666
11.7,0.38929,0.27662
11.8,0.39282,0.27673
11.9,0.39607,0.27815
12,0.39917,0.27817
12.1,0.40267,0.27884
12.2,0.40588,0.27955
12.3,0.40922,0.27992
12.4,0.4127,0.28005
12.5,0.41609,0.27993
12.6,0.41916,0.28015
12.7,0.42267,0.27981
12.8,0.426,0.27985
12.9,0.42945,0.28027
13,0.43264,0.28041
13.1,0.4361,0.28303
13.2,0.43935,0.28985
13.3,0.44251,0.29725
13.4,0.44593,0.30213
13.5,0.4494,0.30726
13.6,0.45253,0.31092
13.7,0.45585,0.31502
13.8,0.4594,0.32231
13.9,0.4625,0.32988
14,0.46588,0.342
14.1,0.46949,0.35576
14.2,0.47276,0.36918
14.3,0.47591,0.38278
14.4,0.47941,0.39788
14.5,0.48266,0.41236
14.6,0.48603,0.42737
14.7,0.48933,0.44206
14.8,0.49271,0.45763
14.9,0.49579,0.47118
15,0.49927,0.48724
15.1,0.50258,0.50228
