(s),(mm),(kgf)
23,0.7659,1.88022
23.1,0.76927,1.89642
23.2,0.77274,1.91404
23.3,0.77599,1.92953
23.4,0.77932,1.94642
23.5,0.78284,1.96337
23.6,0.78607,1.97936
23.7,0.78916,1.99441
23.8,0.79268,2.0117
23.9,0.7959,2.02727
24,0.79922,2.04378
24.1,0.8027,2.06148
24.2,0.80609,2.07826
24.3,0.80914,2.09288
24.4,0.81267,2.1107
24.5,0.81602,2.12706
24.6,0.81947,2.14401
24.7,0.82267,2.15975
24.8,0.8261,2.17685
24.9,0.82933,2.19251
25,0.83251,2.20803
25.1,0.83593,2.22508
25.2,0.83938,2.24225
25.3,0.84254,2.25773
25.4,0.84585,2.27434
25.5,0.8494,2.29138
25.6,0.85251,2.30672
25.7,0.85587,2.32366
25.8,0.85949,2.34146
25.9,0.86276,2.35753
26,0.86593,2.37314
26.1,0.86942,2.39061
26.2,0.87267,2.40643
26.3,0.87601,2.42264
26.4,0.87934,2.43896
26.5,0.88271,2.45535
26.6,0.88579,2.47072
26.7,0.88929,2.48765
26.8,0.89259,2.50407
26.9,0.89605,2.52091
27,0.89927,2.53676
27.1,0.9027,2.5535
27.2,0.90607,2.57003
27.3,0.90931,2.5855
27.4,0.91265,2.60181
27.5,0.91618,2.61897
27.6,0.91938,2.63433
27.7,0.92253,2.64934
27.8,0.92607,2.66679
27.9,0.92917,2.68166
28,0.9325,2.69746
28.1,0.93601,2.71478
28.2,0.93941,2.73111
28.3,0.94244,2.7453
28.4,0.94602,2.76288
28.5,0.94935,2.77813
28.6,0.95268,2.79467
28.7,0.95602,2.81049
28.8,0.95949,2.82699
28.9,0.96261,2.84158
29,0.96598,2.85772
29.1,0.9693,2.87341
29.2,0.97262,2.88905
29.3,0.97586,2.9037
29.4,0.97928,2.92044
29.5,0.98266,2.93604
29.6,0.9859,2.95125
29.7,0.98924,2.96671
29.8,0.99283,2.98388
29.9,0.99602,2.99912
30,0.99924,3.01373
30.1,1.00284,3.03059
30.2,1.00599,3.04502
30.3,1.00929,3.06022
30.4,1.01274,3.07615
30.5,1.01604,3.09118
30.6,1.0191,3.10554
30.7,1.02267,3.12238
30.8,1.02596,3.13729
30.9,1.02927,3.15291
31,1.0326,3.16785
31.1,1.03606,3.18419
31.2,1.03923,3.19851
31.3,1.04264,3.21418
31.4,1.04604,3.23022
31.5,1.04942,3.24521
31.6,1.05265,3.26014
31.7,1.05595,3.27524
31.8,1.05934,3.2909
31.9,1.06252,3.30488
32,1.06589,3.32008
32.1,1.06942,3.33652
32.2,1.07262,3.3512
32.3,1.07579,3.36531
32.4,1.07941,3.38202
32.5,1.08264,3.39633
32.6,1.08595,3.41123
