(s),(mm),(kgf)
0,0,-0.00014
0.1,0.00075,0.00172
0.2,0.00502,0.01643
0.3,0.00916,0.03095
0.4,0.01258,0.04312
0.5,0.01593,0.05543
0.6,0.01932,0.06742
0.7,0.02252,0.07884
0.8,0.02581,0.09054
0.9,0.02928,0.10312
1,0.03246,0.11451
1.1,0.03587,0.1269
1.2,0.03939,0.1398
1.3,0.04264,0.15191
1.4,0.04577,0.16349
1.5,0.04944,0.1777
1.6,0.05269,0.18971
1.7,0.05595,0.20228
1.8,0.0594,0.21546
1.9,0.06276,0.22824
2,0.06582,0.23998
2.1,0.06927,0.25361
2.2,0.07262,0.26595
2.3,0.07593,0.26013
2.4,0.07925,0.26061
2.5,0.08265,0.25925
2.6,0.08595,0.25687
2.7,0.08925,0.25696
2.8,0.09267,0.25723
2.9,0.09623,0.25774
3,0.09937,0.25716
3.1,0.10255,0.25745
3.2,0.10612,0.2578
3.3,0.10927,0.25771
3.4,0.11257,0.25773
3.5,0.11607,0.25766
3.6,0.1193,0.25759
3.7,0.12245,0.25792
3.8,0.12606,0.25798
3.9,0.12924,0.25812
4,0.13254,0.259
4.1,0.13608,0.26135
4.2,0.13944,0.26293
4.3,0.14261,0.24884
4.4,0.14601,0.24848
4.5,0.14937,0.2483
4.6,0.15269,0.24882
4.7,0.1559,0.24844
4.8,0.15931,0.24867
4.9,0.16257,0.24885
5,0.16584,0.24887
5.1,0.16926,0.2499
5.2,0.17281,0.25192
5.3,0.17592,0.25267
5.4,0.17925,0.2528
5.5,0.18277,0.25331
5.6,0.18596,0.25338
5.7,0.18928,0.25339
5.8,0.19282,0.25383
5.9,0.19612,0.2554
6,0.19916,0.25752
6.1,0.20263,0.25766
6.2,0.20588,0.25772
6.3,0.20926,0.25794
6.4,0.21268,0.2578
6.5,0.21611,0.25781
6.6,0.21918,0.25785
6.7,0.22266,0.25749
6.8,0.22601,0.25799
6.9,0.22951,0.25807
7,0.23263,0.2586
7.1,0.23605,0.26014
7.2,0.23936,0.26321
7.3,0.2425,0.26649
7.4,0.24591,0.27016
7.5,0.24939,0.27468
7.6,0.25253,0.27955
7.7,0.2558,0.28601
7.8,0.25941,0.29697
7.9,0.26253,0.30736
8,0.26587,0.31939
8.1,0.26944,0.33311
8.2,0.27281,0.34647
8.3,0.27589,0.35898
8.4,0.27938,0.37432
8.5,0.28266,0.38855
8.6,0.28604,0.40344
8.7,0.28929,0.4177
8.8,0.29269,0.4334
8.9,0.29581,0.44758
9,0.29928,0.46322
9.1,0.30258,0.47848
9.2,0.3061,0.49485
9.3,0.3093,0.51007
9.4,0.31268,0.52597
9.5,0.31613,0.54201
9.6,0.3193,0.55659
9.7,0.32263,0.57231
9.8,0.32617,0.58952
9.9,0.3294,0.60401
10,0.33249,0.61884
10.1,0.33608,0.63591
